,win,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,level,net_worth,hero_damage,tower_damage,hero_healing,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,matches,radiant,name,account_id
0,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,
2,0.6,8.6,4.3,10.35,316.85,13.75,634.5,740.75,20.85,20524.2,27974.3,6634.7,0.0,20125.25,16749.1,2982.4,0.0,20.0,0.55,Буська,898455820.0
3,0.6,9.4,4.6,11.25,308.3,14.7,630.8,761.45,21.35,21940.0,29626.85,4814.4,0.0,22800.5,16155.35,2403.65,0.0,20.0,0.5,Suma1L-,183719386.0
4,0.65,8.75,6.85,17.55,181.75,4.15,506.3,681.1,20.75,17119.95,30686.1,4624.6,321.0,16900.75,15776.7,1969.05,184.4,20.0,0.5,Cr1t-,25907144.0
